,req_category,sat_part_means,act_part_means,total_part_means
0,only act and free,0.1591666666666667,0.9916666666666667,1.1508333333333332
1,either,0.49000000000000005,0.69,1.1800000000000002
2,either and act is free,0.12,0.75,0.87
3,neither,0.4360869565217392,0.5143478260869564,0.9504347826086956
4,neither but both free,0.07,1.0,1.07
5,only sat and free,0.985,0.22666666666666666,1.2116666666666667
